STRATEGY,NONPHONE_WEIGHT,PHONE_WEIGHT,MEAN_ADS,WORST_ADS,MIN_DELTA,MEAN_DELTA,MAX_MUSIC_EER,ROBUST_SELECTION
mixed_hard_router,0.25,0.15,0.8338976203884164,0.7664935064935066,0.00825000000000009,0.008832949308755852,0.1885714285714286,1.608641126881923
phone_soft_router,0.25,0.25,0.8338976203884164,0.7664935064935066,0.00825000000000009,0.008832949308755852,0.1885714285714286,1.608641126881923
phone_hard_router,0.25,0.25,0.8338976203884164,0.7664935064935066,0.00825000000000009,0.008832949308755852,0.1885714285714286,1.608641126881923
mixed_hard_router,0.25,0.25,0.8338976203884164,0.7664935064935066,0.00825000000000009,0.008832949308755852,0.1885714285714286,1.608641126881923
mixed_hard_router,0.25,0.3,0.8338976203884164,0.7664935064935066,0.00825000000000009,0.008832949308755852,0.1885714285714286,1.608641126881923
phone_soft_router,0.3,0.25,0.8338976203884164,0.7664935064935066,0.00825000000000009,0.008832949308755852,0.1885714285714286,1.608641126881923
phone_hard_router,0.3,0.25,0.8338976203884164,0.7664935064935066,0.00825000000000009,0.008832949308755852,0.1885714285714286,1.608641126881923
confidence_hard_router,0.0,1.0,0.8391591411257435,0.7733506493506495,0.007500000000000062,0.014094470046082996,0.1657142857142857,1.620009790476393
mixed_hard_router,0.4,0.3,0.8347904775312734,0.7699220779220779,0.007500000000000062,0.009725806451612954,0.17714285714285716,1.6122125554533515
mixed_hard_router,0.4,0.25,0.834219048959845,0.7682077922077922,0.007500000000000062,0.009154377880184398,0.18285714285714283,1.6099268411676373
mixed_hard_router,0.5,0.3,0.834219048959845,0.7682077922077922,0.007500000000000062,0.009154377880184398,0.18285714285714283,1.6099268411676373
phone_soft_router,0.15,0.1,0.8336476203884163,0.7664935064935066,0.007500000000000062,0.008582949308755842,0.1885714285714286,1.607641126881923
phone_hard_router,0.15,0.1,0.8336476203884163,0.7664935064935066,0.007500000000000062,0.008582949308755842,0.1885714285714286,1.607641126881923
phone_soft_router,0.2,0.1,0.8336476203884163,0.7664935064935066,0.007500000000000062,0.008582949308755842,0.1885714285714286,1.607641126881923
phone_hard_router,0.2,0.1,0.8336476203884163,0.7664935064935066,0.007500000000000062,0.008582949308755842,0.1885714285714286,1.607641126881923
phone_soft_router,0.25,0.1,0.8336476203884163,0.7664935064935066,0.007500000000000062,0.008582949308755842,0.1885714285714286,1.607641126881923
phone_hard_router,0.25,0.1,0.8336476203884163,0.7664935064935066,0.007500000000000062,0.008582949308755842,0.1885714285714286,1.607641126881923
phone_soft_router,0.5,0.1,0.8336476203884163,0.7664935064935066,0.007500000000000062,0.008582949308755842,0.1885714285714286,1.607641126881923
phone_hard_router,0.5,0.1,0.8336476203884163,0.7664935064935066,0.007500000000000062,0.008582949308755842,0.1885714285714286,1.607641126881923
phone_hard_router,0.3,0.15,0.8340761918169878,0.7647792207792208,0.006857142857142895,0.00901152073732725,0.19428571428571428,1.6057125554533516
phone_soft_router,0.3,0.15,0.8338261918169878,0.7647792207792208,0.006857142857142895,0.008761520737327277,0.19428571428571428,1.6054625554533515
mixed_hard_router,0.2,0.1,0.8333261918169877,0.7647792207792208,0.006857142857142895,0.008261520737327258,0.19428571428571428,1.6049625554533515
phone_soft_router,0.3,0.1,0.8330761918169878,0.7647792207792208,0.006857142857142895,0.008011520737327249,0.19428571428571428,1.6047125554533515
phone_hard_router,0.3,0.1,0.8330761918169878,0.7647792207792208,0.006857142857142895,0.008011520737327249,0.19428571428571428,1.6047125554533515
